siteengname,observations,first_risk,latest_risk,mean_score,hotspot_status
Fonhua Bridge,3,HIGH,HIGH,5.083333333333333,PERSISTENT
Fonli Bridge,3,MEDIUM,HIGH,3.5,PERSISTENT
Fonlin Bridge,3,MEDIUM,LOW,1.1666666666666667,STABLE/LOWER_RISK
Fonpin Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Fuchou Bridge,3,HIGH,MEDIUM,3.9166666666666665,IMPROVING
Fumazun,3,MEDIUM,MEDIUM,2.5,STABLE/LOWER_RISK
Fusing Bridge,3,MEDIUM,HIGH,3.3333333333333335,EMERGING
Gandzulin Bridge,3,LOW,MEDIUM,1.4166666666666667,STABLE/LOWER_RISK
Gangci Pomping Station,3,HIGH,HIGH,4.916666666666667,PERSISTENT
Gangkou Bridge,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Gaopingda Bridge,3,HIGH,MEDIUM,3.4166666666666665,IMPROVING
Geinwun Bridge,3,MEDIUM,MEDIUM,1.5555566666666667,STABLE/LOWER_RISK
Geolooda Bridge,3,HIGH,HIGH,4.5,PERSISTENT
Gichen Bridge,3,MEDIUM,LOW,1.75,STABLE/LOWER_RISK
Ginyang No 2,3,LOW,LOW,1.0,STABLE/LOWER_RISK
Gongliaoda Bridge,3,MEDIUM,LOW,1.4166666666666667,STABLE/LOWER_RISK
Gootin Bridge,3,HIGH,HIGH,6.416666666666667,PERSISTENT
Gueishan Bridge,5,HIGH,MEDIUM,3.35,IMPROVING
Guogwon Bridge,3,MEDIUM,MEDIUM,2.0833333333333335,STABLE/LOWER_RISK
Guoshen Bridge,3,MEDIUM,MEDIUM,2.0833333333333335,STABLE/LOWER_RISK
Gwandu Bridge,3,HIGH,MEDIUM,3.8333333333333335,IMPROVING
Heping Bridge,3,HIGH,HIGH,5.416666666666667,PERSISTENT
Hichenda Bridge,2,LOW,MEDIUM,1.25,STABLE/LOWER_RISK
Hifon Bridge,3,HIGH,HIGH,5.5,PERSISTENT
High Speed Rail Bridge,3,MEDIUM,HIGH,3.5,PERSISTENT
Hiway Bridge,3,MEDIUM,LOW,1.75,STABLE/LOWER_RISK
Hochih Weir,3,LOW,MEDIUM,1.3333333333333333,STABLE/LOWER_RISK
